step,m9,contact,m_i0,m0_0,m0_1,m0_2,o3,o4,tension_xlen,w0
2,2,78,0,2,2,2,-0.00037631996861424368,8.5133152332458306e-05,0,3.1500000000000004
2,2,79,0,2,2,2,-3.4848491775269984e-05,6.5592668906101328e-10,0,3.1500000000000004
2,2,80,0,2,2,2,-2.6819546466478604e-05,-3.5665535862649151e-10,0,3.1500000000000004
2,2,81,0,2,2,2,-0.00039789760521598977,1.1349483777865196e-06,0,3.1500000000000004
2,2,82,0,2,2,2,-0.00040934428597023834,9.5204241016839152e-06,0,3.1500000000000004
2,2,83,0,2,2,2,-0.00041036984242139474,-1.3413205245601824e-05,0,3.1500000000000004
2,2,84,0,2,2,2,-0.00040832107033091981,-5.3038648768079748e-06,0,3.1500000000000004
2,2,85,0,0,1,1,-2.3587548109528687e-05,-3.0757403526094372e-05,0,3.1500000000000004
2,2,86,0,0,0,0,6.1653989833648071e-05,5.7377560008401362e-05,0,3.1500000000000004
2,2,87,0,2,2,2,-0.00040831536951368524,5.2975069172134736e-06,0,3.1500000000000004
2,2,88,0,2,2,2,-0.00041037012716771371,1.3406661273842912e-05,0,3.1500000000000004
2,2,89,0,2,2,2,-0.00040933429247491074,-9.5270866500843978e-06,0,3.1500000000000004
2,2,90,0,2,2,2,-0.00039789500504963161,-1.1416223918311191e-06,0,3.1500000000000004
